nam,track,dat,genre,imag
Nai Palm,Atoll,2021-10-02 11:59:29.397,alternative r&b,https://i.scdn.co/image/ab67616d0000b273340315da78e1e41dd69439b8
Nai Palm,When the Knife,2021-10-02 12:04:24.849,alternative r&b,https://i.scdn.co/image/ab67616d0000b273340315da78e1e41dd69439b8
Nai Palm,Blackstar / Pyramid Song / Breathing Underwater (feat. Amadou Suso),2021-10-02 12:13:35.315,alternative r&b,https://i.scdn.co/image/ab67616d0000b273340315da78e1e41dd69439b8
Nai Palm,Borderline with My Atoms,2021-10-02 12:20:02.361,alternative r&b,https://i.scdn.co/image/ab67616d0000b273340315da78e1e41dd69439b8
Nai Palm,Homebody,2021-10-02 12:23:59.414,alternative r&b,https://i.scdn.co/image/ab67616d0000b273340315da78e1e41dd69439b8
Nai Palm,Wititj (Lightning Snake) Pt. 2 (feat. Jason Guwanbal Gurruwiwi),2021-10-02 12:25:48.525,alternative r&b,https://i.scdn.co/image/ab67616d0000b273340315da78e1e41dd69439b8
Alfa Mist,Brian,2021-10-02 12:28:23.267,british jazz,https://i.scdn.co/image/ab67616d0000b2735d46b069ef33382b235b296a
Raveena,Hypnosis,2021-10-02 12:29:59.139,alternative r&b,https://i.scdn.co/image/ab67616d0000b273825d2628545eaea03bf9672f
Nai Palm,Homebody,2021-10-02 12:33:56.799,alternative r&b,https://i.scdn.co/image/ab67616d0000b273340315da78e1e41dd69439b8
Mr Jukes,Grant Green,2021-10-02 12:37:20.019,british soul,https://i.scdn.co/image/ab67616d0000b2736399259ee912d732221b722f
Hiatus Kaiyote,Red Room,2021-10-02 12:41:12.304,australian r&b,https://i.scdn.co/image/ab67616d0000b27303779e10dc45b4dc78fb5302
Fat Night,Sun Go Down,2021-10-02 12:44:55.871,funk,https://i.scdn.co/image/ab67616d0000b27346ca648c2783023acdd56a28
Alfa Mist,No Peace,2021-10-02 12:48:39.485,british jazz,https://i.scdn.co/image/ab67616d0000b2732d00df9354219955f48493d6
Patrick Paige II,Whisper (Want My Luv),2021-10-02 12:52:29.488,alternative r&b,https://i.scdn.co/image/ab67616d0000b273f7699501345aee6db278d5fc
Nai Palm,Have You Ever Been (To Electric Ladyland),2021-10-02 12:56:48.859,alternative r&b,https://i.scdn.co/image/ab67616d0000b273340315da78e1e41dd69439b8
Yazmin Lacey,Morning Sunrise,2021-10-02 13:09:37.180,alternative r&b,https://i.scdn.co/image/ab67616d0000b273f1177c4602cf65b8f7473722
Butcher Babies,Burn the Straw Man,2021-10-02 16:42:31.368,groove metal,https://i.scdn.co/image/ab67616d0000b2739c7b3129eac2238727993041
